X.source..id,latest_search_date,disease
CD001081.PUB4,2019,Carotid stenosis
CD010244.PUB2,2019,Pancreatic cancer
CD012602.PUB2,2021,Miscarriage
CD006983.PUB3,2012,Leprosy
CD009379.PUB2,2012,Acute ocular burns
CD003431.PUB3,2008,Anal fissure
CD001122.PUB5,2019,Polycystic ovarian syndrome
CD009366.PUB2,2017,Critical limb ischaemia
CD004982.PUB6,2017,Superficial thrombophlebitis
CD012017.PUB2,2017,Recurrent acute otitis media
CD004272.PUB3,2013,Primary breast cancer
CD006714.PUB2,2008,Pregnancy
CD010541.PUB3,2019,Epilepsy
CD013034.PUB2,2018,Jumper's knee
CD003712.PUB3,2014,Refractory angina
CD003951.PUB3,2012,Patent ductus arteriosus
CD009526.PUB2,2016,Polycystic ovarian syndrome
CD003855.PUB3,2016,Heavy menstrual bleeding
CD003037.PUB2,2000,Pregnancy
CD007223.PUB4,2016,Pregnancy
CD003435.PUB2,2010,Cerebral oedema in acute ischaemic stroke
CD011498.PUB2,2016,Oesophageal cancer
CD002784.PUB3,2018,Acute limb ischaemia
CD006499.PUB4,2016,Strabismus
CD003243.PUB3,2015,GERD
CD001802.PUB3,2014,Tonsillitis
CD003412.PUB3,2019,Basal cell carcinoma of the skin
CD003983.PUB3,2019,High ICP in closed TBI
CD010287.PUB3,2017,PCOS
CD010651.PUB2,2016,Pleural empyema
CD011160.PUB2,2016,Pathological myopia
CD012743.PUB2,2018,Open angle glaucoma
CD007630.PUB2,2011,Thyroid eye disease
CD009860.PUB2,2017,Trigger finger
CD013502,2019,Rotator cuff tear
CD003919.PUB2,2007,Open angle glaucoma
CD001923.PUB2,2004,Asymptomatic carotid stenosis
CD010264.PUB2,2015,Lumbar spinal stenosis
CD000200.PUB2,2007,Primary supratentorial intracerebral haemorrhage
CD001532.PUB5,2018,Primary vesicoureteric reflux