X.source..id,title
CD005029.PUB2,Treatment for ataxia in multiple sclerosis
CD002138,Hypothermia to reduce neurological damage following coronary artery bypass surgery
CD008107.PUB2,"Perioperative chemo(radio)therapy versus primary surgery for resectable adenocarcinoma of the stomach, gastroesophageal junction, and lower esophagus"
CD007281.PUB2,Interventions for cutaneous Bowen's disease
CD008602.PUB4,Interventions for congenital talipes equinovarus (clubfoot)
CD004461.PUB3,Interventions for recurrent idiopathic epistaxis (nosebleeds) in children
CD006476.PUB3,Management for intussusception in children
CD005118.PUB2,Arthroscopic debridement for knee osteoarthritis
CD009166.PUB2,Cervical stitch (cerclage) for preventing preterm birth in multiple pregnancy
CD002221.PUB2,Interventions for involutional lower lid entropion
CD009379.PUB2,Amniotic membrane transplantation for acute ocular burns
CD003296.PUB3,Retinoids for preventing the progression of cervical intra‐epithelial neoplasia
CD004917.PUB3,Interventions for infantile esotropia
CD002944.PUB2,"Balloon angioplasty, with and without stenting, versus medical therapy for hypertensive patients with renal artery stenosis"
CD003431.PUB3,Non surgical therapy for anal fissure
CD007340.PUB2,Bariatric surgery for non‐alcoholic steatohepatitis in obese patients
CD012834.PUB2,Medical and surgical abortion for women living with HIV
CD001122.PUB5,Laparoscopic ovarian drilling for ovulation induction in women with anovulatory polycystic ovary syndrome
CD007156.PUB2,Interventions for the management of oral submucous fibrosis
CD012802.PUB2,Ab interno supraciliary microstent surgery for open‐angle glaucoma
CD010273.PUB2,Interventions for treating postpartum constipation
CD001552.PUB2,Surgical versus non‐surgical treatment for carpal tunnel syndrome
CD009366.PUB2,Lumbar sympathectomy versus prostanoids for critical limb ischaemia due to non‐reconstructable peripheral arterial disease
CD012743.PUB2,Ab interno trabecular bypass surgery with iStent for open‐angle glaucoma
CD009266.PUB2,Non‐steroidal antiandrogen monotherapy compared with luteinising hormone–releasing hormone agonists or surgical castration monotherapy for advanced prostate cancer
CD003412.PUB3,Interventions for basal cell carcinoma of the skin
CD007060.PUB2,Liver resection versus other treatments for neuroendocrine tumours in patients with resectable liver metastases
CD008088.PUB3,Anti‐TNF‐α treatment for pelvic pain associated with endometriosis
CD004982.PUB6,Treatment for superficial thrombophlebitis of the leg
CD007939.PUB2,Single herbal medicine for diabetic retinopathy
CD013486.PUB2,Percutaneous thrombectomy or ultrasound‐accelerated thrombolysis for initial management of acute limb ischaemia
CD011160.PUB2,Anti‐vascular endothelial growth factor for choroidal neovascularisation in people with pathological myopia
CD002000.PUB3,Bypass surgery for chronic lower limb ischaemia
CD010003,Splinting for carpal tunnel syndrome
CD012017.PUB2,Grommets (ventilation tubes) for recurrent acute otitis media in children
CD009968.PUB2,Botulinum toxin for upper oesophageal sphincter dysfunction in neurological swallowing disorders
CD004272.PUB3,Surgery versus primary endocrine therapy for operable primary breast cancer in elderly women (70 years plus)
CD004927.PUB4,Surgical management of functional bladder outlet obstruction in adults with neurogenic bladder dysfunction
CD007118.PUB2,Palliative cytoreductive surgery versus other palliative treatments in patients with unresectable liver metastases from gastro‐entero‐pancreatic neuroendocrine tumours
CD001934.PUB2,Surgical versus non‐surgical interventions for vocal cord nodules
CD006714.PUB2,Surgical versus medical methods for second trimester induced abortion
CD003752.PUB3,Chemoradiation for advanced primary vulval cancer
CD011174.PUB2,Interventions for non‐tubal ectopic pregnancy
CD004437.PUB6,Thrombolytic therapy for pulmonary embolism
CD007404.PUB2,Interventions for central giant cell granuloma (CGCG) of the jaws
CD010541.PUB3,Surgery for epilepsy
CD005375.PUB4,Surgery for scoliosis in Duchenne muscular dystrophy
CD010651.PUB2,Surgical versus non‐surgical management for pleural empyema
CD013034.PUB2,Surgery for patellar tendinopathy (jumper’s knee)
CD009416.PUB2,Interventions for treating pain and disability in adults with complex regional pain syndrome‐ an overview of systematic reviews
CD007481.PUB3,Chemical pleurodesis versus surgical intervention for persistent and recurrent pneumothoraces in cystic fibrosis
CD010847.PUB3,Interventions for treating simple bone cysts in the long bones of children
CD006746.PUB4,Laser peripheral iridoplasty for chronic angle closure
CD003712.PUB3,Transmyocardial laser revascularization versus medical therapy for refractory angina
CD010989.PUB2,Non‐operative management versus operative management in high‐grade blunt hepatic injury
CD008997.PUB2,Non‐resection versus resection for an asymptomatic primary tumour in patients with unresectable Stage IV colorectal cancer
CD005081.PUB3,Medical and surgical treatment for ocular myasthenia
CD013099.PUB2,Interventions for bacterial folliculitis and boils (furuncles and carbuncles)
CD011837.PUB2,Medical and surgical interventions for the treatment of usual‐type vulval intraepithelial neoplasia
CD012742.PUB2,Subconjunctival draining minimally‐invasive glaucoma devices for medically uncontrolled glaucoma
CD003951.PUB3,Surgical versus medical treatment with cyclooxygenase inhibitors for symptomatic patent ductus arteriosus in preterm infants
CD010663.PUB2,Surgical versus non‐surgical interventions in people with adolescent idiopathic scoliosis
CD007261.PUB2,Interventions for managing temporomandibular joint osteoarthritis
CD003193.PUB4,Anticholinergic drugs versus non‐drug active therapies for non‐neurogenic overactive bladder syndrome in adults
CD009493.PUB2,N‐acetylcarnosine (NAC) drops for age‐related cataract
CD005198.PUB3,Therapeutic interventions for Burkitt lymphoma in children
CD004981.PUB4,Treatment for femoral pseudoaneurysms
CD003525.PUB2,Surgery for lateral elbow pain
CD013006.PUB2,Interventions for the management of obesity in people with bipolar disorder
CD013404.PUB2,Surgical interventions for treating intracapsular hip fractures in older adults: a network meta‐analysis
CD008973.PUB2,Topical corticosteroids for treating phimosis in boys
CD011725.PUB2,Indomethacin for intracranial hypertension secondary to severe traumatic brain injury in adults
CD009526.PUB2,Ovarian surgery for symptom relief in women with polycystic ovary syndrome
CD012447.PUB2,Surgical interventions for vertical strabismus in superior oblique palsy
CD007907.PUB2,Surgical interventions for diaphyseal fractures of the radius and ulna in children
CD011166.PUB2,Surgical versus conservative interventions for treating anterior cruciate ligament injuries
CD006032.PUB4,Steroids for traumatic optic neuropathy
CD003855.PUB3,Surgery versus medical therapy for heavy menstrual bleeding
CD003425.PUB4,Splenectomy versus conservative management for acute sequestration crises in people with sickle cell disease
CD009505.PUB2,Aromatase inhibitors for uterine fibroids
CD010716.PUB2,Surgery versus non‐surgical management for unilateral ureteric‐pelvic junction obstruction in newborns and infants less than two years of age
CD004458.PUB2,Functional endoscopic sinus surgery for chronic rhinosinusitis
CD001829.PUB4,Interventions for treating oral leukoplakia to prevent oral cancer
CD005079.PUB3,Surgical versus non‐surgical treatment for thoracolumbar burst fractures without neurological deficit
CD003037.PUB2,Medical versus surgical methods for first trimester termination of pregnancy
CD011169.PUB2,Selective oestrogen receptor modulators (SERMs) for endometriosis
CD007535.PUB4,Chinese herbal medicine for subfertile women with polycystic ovarian syndrome
CD005619.PUB3,Subacromial decompression surgery for rotator cuff disease
CD010287.PUB3,Aromatase inhibitors (letrozole) for subfertile women with polycystic ovary syndrome
CD007924.PUB3,Medical interventions for high‐grade vulval intraepithelial neoplasia
CD003469.PUB4,Botulinum toxin A as an adjunct to treatment in the management of the upper limb in children with spastic cerebral palsy (UPDATE)
CD004098.PUB2,Levothyroxine or minimally invasive therapies for benign thyroid nodules
CD008280.PUB2,Interventions for atrophic rhinitis
CD008111.PUB2,Thymectomy for non‐thymomatous myasthenia gravis
CD007223.PUB4,Medical treatments for incomplete miscarriage
CD008832.PUB2,Surgical versus non‐surgical interventions for treating humeral shaft fractures in adults
CD009244.PUB2,Interventions for anal canal intraepithelial neoplasia
CD010308.PUB2,"Interventions for melanoma in situ, including lentigo maligna"
CD007468.PUB4,Surgical interventions for the early management of Bell's palsy
CD007792.PUB2,Palliative surgery versus medical management for bowel obstruction in ovarian cancer
CD006568.PUB3,Chinese herbal medicine for endometriosis
CD003983.PUB3,Decompressive craniectomy for the treatment of high intracranial pressure in closed traumatic brain injury
CD008455.PUB2,Interventions for treating bisphosphonate‐related osteonecrosis of the jaw (BRONJ)
CD002115.PUB5,Management of faecal incontinence and constipation in adults with central neurological diseases
CD006973.PUB2,Interventions for increasing ankle range of motion in patients with neuromuscular disease
CD006991.PUB2,Surgical versus medical interventions for chronic rhinosinusitis with nasal polyps
CD001496.PUB2,Pharmacological and surgical interventions for the treatment of gastro‐oesophageal reflux in adults and children with asthma
CD012879.PUB2,Shoulder replacement surgery for osteoarthritis and rotator cuff tear arthropathy
CD006131.PUB3,Interventions for Mooren's ulcer
CD008571.PUB2,Interventions for women with endometrioma prior to assisted reproductive technology
CD006544.PUB3,Prostanoids for critical limb ischaemia
CD007677.PUB4,Pentoxifylline for the treatment of endometriosis‐associated pain and infertility  
CD003435.PUB2,Surgical decompression for cerebral oedema in acute ischaemic stroke
CD013325.PUB2,Interventions for treating people with symptoms of bladder pain syndrome: a network meta‐analysis
CD001066.PUB3,Interventions for varicose veins and leg oedema in pregnancy
CD012740.PUB2,Ab interno trabecular bypass surgery with Schlemm´s canal microstent (Hydrus) for open angle glaucoma
CD006388.PUB2,Octreotide for the treatment of chylothorax in neonates
CD003658.PUB3,Needling for encapsulated trabeculectomy filtering blebs
CD006152.PUB2,Decompressive surgery of lower limbs for symmetrical diabetic peripheral neuropathy
CD001896.PUB2,Surgical interruption of pelvic nerve pathways for primary and secondary dysmenorrhoea
CD006151.PUB3,Fundoplication versus postoperative medication for gastro‐oesophageal reflux in children with neurological impairment undergoing gastrostomy
CD010081.PUB2,Interventions for hidradenitis suppurativa
CD007630.PUB2,Surgical orbital decompression for thyroid eye disease
CD006071.PUB2,Continuous infusion versus intermittent bolus doses of indomethacin for patent ductus arteriosus closure in symptomatic preterm infants
CD011165.PUB2,Tonsillectomy or adenotonsillectomy versus non‐surgical management for obstructive sleep‐disordered breathing in children
CD004699.PUB2,Surgery for local and locally advanced non‐small cell lung cancer
CD005656.PUB3,Intravitreal steroids for macular edema in diabetes
CD010512.PUB2,Endovascular revascularisation versus conservative management for intermittent claudication
CD002867,Treatments for secondary postpartum haemorrhage
CD005292.PUB3,Herbal preparations for uterine fibroids
CD009860.PUB2,Surgery for trigger finger
CD006373.PUB2,Interventions for treating functional dysphonia in adults
CD001541.PUB3,Interventions for ingrowing toenails
CD001466.PUB3,Surgery for cervical radiculopathy or myelopathy
CD013469.PUB2,Surgical and medical interventions for abdominal aortic graft infections
CD001219,Corticosteroids for the resolution of malignant bowel obstruction in advanced gynaecological and gastrointestinal cancer
CD013502,Surgery for rotator cuff tears
CD005304.PUB3,Interventions for primary (intrinsic) tracheomalacia in children
CD011498.PUB2,Non‐surgical versus surgical treatment for oesophageal cancer
CD002180,Surgery versus non‐surgical treatment for bronchiectasis
CD002784.PUB3,Surgery versus thrombolysis for initial management of acute limb ischaemia
CD010868.PUB2,Interventions for dissociated vertical deviation
CD006499.PUB4,Botulinum toxin for the treatment of strabismus
CD005024.PUB3,Surgery for traumatic optic neuropathy
CD012128.PUB2,Surgical interventions for symptomatic mild to moderate knee osteoarthritis
CD003243.PUB3,Laparoscopic fundoplication surgery versus medical management for gastro‐oesophageal reflux disease (GORD) in adults
CD001408.PUB2,Botulinum toxin type A in the treatment of lower limb spasticity in children with cerebral palsy
CD003641.PUB4,Surgery for weight loss in adults
CD009919.PUB2,Surgical versus nonsurgical interventions for flail chest
CD003919.PUB2,Laser trabeculoplasty for open angle glaucoma
CD010312.PUB2,Prostaglandins for management of retained placenta
CD003118.PUB2,Interventions for the treatment of Morton's neuroma
CD011693.PUB3,Ab interno trabecular bypass surgery with Trabectome for open‐angle glaucoma
CD001001.PUB3,Lung volume reduction surgery for diffuse emphysema
CD004399.PUB3,Medical versus surgical interventions for open angle glaucoma
CD010784.PUB3,Medical and surgical interventions for the treatment of urinary stones in children
CD008669.PUB3,"Tonsillectomy for periodic fever, aphthous stomatitis, pharyngitis and cervical adenitis syndrome (PFAPA)"
CD008128.PUB2,Treatment of valvular heart disease during pregnancy for improving maternal and neonatal outcome
CD001923.PUB2,Carotid endarterectomy for asymptomatic carotid stenosis
CD000324.PUB2,Interventions for tubal ectopic pregnancy
CD000526.PUB2,Interventions for treating tuberculous pericarditis
CD010960.PUB2,Injection therapies for Achilles tendinopathy
CD003738.PUB3,Interventions for preventing posterior capsule opacification
CD013000.PUB2,Interventions for orbital lymphangioma
CD008282,Adenoidectomy for recurrent or chronic nasal symptoms in children
CD004156.PUB4,Treatment for spasticity in amyotrophic lateral sclerosis/motor neuron disease
CD003263.PUB5,Interventions for vitiligo
CD008583.PUB3,Ultrasound‐guided transvaginal ovarian needle drilling for clomiphene‐resistant polycystic ovarian syndrome in subfertile women
CD004159.PUB3,Treatment for meralgia paraesthetica
CD007810.PUB2,Adenoidectomy for otitis media in children
CD006181.PUB2,Prophylactic surgical ligation of patent ductus arteriosus for prevention of mortality and morbidity in extremely low birth weight infants
CD011917.PUB2,Surgery for limited‐stage small‐cell lung cancer
CD006797.PUB2,Surgical resection versus non‐surgical treatment for hepatic node positive patients with colorectal liver metastases
CD010264.PUB2,Surgical versus non‐surgical treatment for lumbar spinal stenosis
CD007510.PUB3,Botulinum toxin for masseter hypertrophy
CD011523.PUB2,Medical versus surgical treatment for refractory or recurrent peptic ulcer
CD001802.PUB3,Tonsillectomy or adenotonsillectomy versus non‐surgical treatment for chronic/recurrent acute tonsillitis
CD008106.PUB3,Surgical versus non‐surgical interventions for treating patellar dislocation
CD008732.PUB2,Macular grid laser photocoagulation for branch retinal vein occlusion
CD011680.PUB2,Interventions for necrotizing soft tissue infections in adults
CD010217.PUB2,Transurethral radiofrequency collagen denaturation for the treatment of women with urinary incontinence
CD001801.PUB3,Grommets (ventilation tubes) for hearing loss associated with otitis media with effusion in children
CD006205.PUB4,Interventions for the treatment of oral and oropharyngeal cancers: surgical treatment
CD009245.PUB3,Interventions for the treatment of Paget's disease of the vulva
CD007383.PUB3,Surgical versus non‐surgical management of abdominal injury
CD012798.PUB3,Interventions for treating distal intestinal obstruction syndrome (DIOS) in cystic fibrosis
CD008089.PUB2,Surgery for shoulder osteoarthritis
CD007869.PUB2,Interventions for non‐metastatic squamous cell carcinoma of the skin
CD008497.PUB3,Deep brain and cortical stimulation for epilepsy
CD004325.PUB2,Surgical versus non‐surgical treatment for acute anterior shoulder dislocation
CD005048.PUB4,Interventions for dysphagia in oesophageal cancer
CD000200.PUB2,Surgery for primary supratentorial intracerebral haemorrhage
CD006981.PUB2,Treatment for sialorrhea (excessive saliva) in people with motor neuron disease/amyotrophic lateral sclerosis
CD011031.PUB3,Laparoscopic surgery for endometriosis
CD010796.PUB2,Surgery for treating hip impingement (femoroacetabular impingement)
CD006769.PUB2,Interventions for late trabeculectomy bleb leak
CD012741.PUB2,Endoscopic cyclophotocoagulation (ECP) for open angle glaucoma and primary angle closure
CD001532.PUB5,Interventions for primary vesicoureteric reflux
CD008104.PUB2,Interventions for treating osteochondral defects of the talus in adults
CD006931.PUB2,Submacular surgery for choroidal neovascularisation secondary to age‚Äêrelated macular degeneration
CD007119.PUB2,Interventions for restoring patency of occluded central venous catheter lumens
CD009959.PUB2,Interventions for the treatment of Frey's syndrome
CD004008.PUB3,Interventions for trachoma trichiasis
CD012432.PUB2,Interventions for managing medication‚Äêrelated osteonecrosis of the jaw
CD010260.PUB2,Hysterectomy with radiotherapy or chemotherapy or both for women with locally advanced cervical cancer
CD010712,Nonoperative treatment for lumbar spinal stenosis with neurogenic claudication
CD013278.PUB2,Early treatment versus expectant management of hemodynamically significant patent ductus arteriosus for preterm infants
CD005624.PUB4,Interventions for great saphenous vein incompetence
CD012309.PUB2,Antimetabolites as an adjunct to dacryocystorhinostomy for nasolacrimal duct obstruction
CD002764.PUB2,Surgery for the resolution of symptoms in malignant bowel obstruction in advanced gynaecological and gastrointestinal cancer
CD008509.PUB3,Alpha‚Äö√Ñ√™blockers as medical expulsive therapy for ureteral stones
CD013085.PUB2,Balneotherapy for chronic venous insufficiency
CD006134.PUB5,Oral contraceptives for functional ovarian cysts
CD011650.PUB2,Management of people with early‚Äö√Ñ√™ or very early‚Äö√Ñ√™stage hepatocellular carcinoma
CD001081.PUB4,Carotid endarterectomy for symptomatic carotid stenosis
CD010244.PUB2,Resection versus other treatments for locally advanced pancreatic cancer
CD012602.PUB2,Methods for managing miscarriage: a network meta‚Äö√Ñ√™analysis
CD006983.PUB3,Decompressive surgery for treating nerve damage in leprosy
CD009590.PUB2,Endometriosis: an overview of Cochrane Reviews
CD005320.PUB2,Operative and non‚Äö√Ñ√™operative treatment options for dislocation of the hip following total hip arthroplasty
CD010349.PUB2,Iodine‚Äö√Ñ√™131‚Äö√Ñ√™meta‚Äö√Ñ√™iodobenzylguanidine therapy for patients with newly diagnosed high‚Äö√Ñ√™risk neuroblastoma
CD011478.PUB2,Type II or type III radical hysterectomy compared to chemoradiotherapy as a primary intervention for stage IB2 cervical cancer
CD002116.PUB2,Drug treatment for faecal incontinence in adults
